Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2018								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
B.C./C.-B.	Vancouver	Maple Ridge (CY)	264	4	129	179	576	
B.C./C.-B.	Vancouver	First Nations (Vancouver) (R)	6	4	49	91	150	
B.C./C.-B.	Vancouver	Total	4,897	319	2,661	15,101	22,978	
B.C./C.-B.	Victoria	North Saanich (DM)	65	2	3	11	81	
B.C./C.-B.	Victoria	Sidney (T)	19	12	2	52	85	
B.C./C.-B.	Victoria	Central Saanich (DM)	9	4	--	3	16	
B.C./C.-B.	Victoria	Saanich (DM)	101	6	10	132	249	
B.C./C.-B.	Victoria	Oak Bay (DM)	33	0	--	--	33	
B.C./C.-B.	Victoria	Victoria (CY)	26	7	--	586	619	
B.C./C.-B.	Victoria	Esquimalt (DM)	11	--	11	--	22	
B.C./C.-B.	Victoria	Colwood (CY)	70	12	37	69	188	
B.C./C.-B.	Victoria	Metchosin (DM)	9	--	--	2	11	
B.C./C.-B.	Victoria	Langford (CY)	180	40	122	551	893	
B.C./C.-B.	Victoria	View Royal (T)	36	16	--	56	108	
B.C./C.-B.	Victoria	Highlands (DM)	11	--	--	--	11	
B.C./C.-B.	Victoria	Sooke (DM)	70	39	--	25	134	
B.C./C.-B.	Victoria	Juan de Fuca (Part 1) (RDA)	42	--	--	3	45	
B.C./C.-B.	Victoria	First Nations (Victoria) (R)	13	--	54	--	67	
B.C./C.-B.	Victoria	Total	695	138	239	1,490	2,562	
B.C./C.-B.	Chilliwack	Chilliwack (CY)	432	28	212	61	733	
B.C./C.-B.	Chilliwack	Harrison Hot Springs (VL)	15	--	4	--	19	
B.C./C.-B.	Chilliwack	Kent (DM)	22	2	4	--	28	
B.C./C.-B.	Chilliwack	Fraser Valley D (RDA)	17	--	--	--	17	
B.C./C.-B.	Chilliwack	Fraser Valley H (RDA)	75	--	--	--	75	
B.C./C.-B.	Chilliwack	Fraser Valley E (RDA)	12	--	--	--	12	
B.C./C.-B.	Chilliwack	First Nations (Chilliwack) (R)	1	--	--	1	2	
B.C./C.-B.	Chilliwack	Total	574	30	220	62	886	
B.C./C.-B.	Courtenay	Comox (T)	22	4	5	3	34	
B.C./C.-B.	Courtenay	Courtenay (CY)	106	18	17	20	161	
B.C./C.-B.	Courtenay	Comox Valley A (RDA)	35	--	--	4	39	
B.C./C.-B.	Courtenay	Comox Valley B (Lazo North) (RDA)	27	--	--	2	29	
B.C./C.-B.	Courtenay	First Nations (Courtenay) (R)	--	--	--	--	--	
B.C./C.-B.	Courtenay	Total	190	22	22	29	263	
B.C./C.-B.	Kamloops	Logan Lake (DM)	6	--	--	--	6	
B.C./C.-B.	Kamloops	Thompson-Nicola J (Copper Desert Country) (RDA)	27	2	--	1	30	
B.C./C.-B.	Kamloops	Kamloops (CY)	224	75	28	99	426	
B.C./C.-B.	Kamloops	Thompson-Nicola P (Rivers and the Peaks) (RDA)	31	--	--	1	32	
B.C./C.-B.	Kamloops	Sun Peaks Mountain (VL)	7	6	18	4	35	
B.C./C.-B.	Kamloops	Chase (VL)	7	2	--	--	9	
B.C./C.-B.	Kamloops	First Nations (Kamloops) (R)	27	22	12	--	61	
B.C./C.-B.	Kamloops	Total	329	107	58	105	599	
B.C./C.-B.	Nanaimo	Nanaimo (CY)	337	35	39	495	906	
B.C./C.-B.	Nanaimo	Lantzville (DM)	9	--	--	--	9	
B.C./C.-B.	Nanaimo	Nanaimo A (RDA)	28	--	--	1	29	
B.C./C.-B.	Nanaimo	Nanaimo C (RDA)	15	--	--	1	16	
B.C./C.-B.	Nanaimo	First Nations (Nanaimo) (R)	--	--	--	--	--	
B.C./C.-B.	Nanaimo	Total	389	35	39	497	960	
B.C./C.-B.	Prince George	Prince George (CY)	121	8	24	114	267	
B.C./C.-B.	Prince George	Fraser-Fort George A (RDA)	13	--	--	1	14	
B.C./C.-B.	Prince George	Fraser-Fort George C (RDA)	16	--	--	--	16	
B.C./C.-B.	Prince George	Fraser-Fort George D (RDA)	14	--	--	--	14	
B.C./C.-B.	Prince George	Fraser-Fort George F (RDA)	2	--	--	--	2	
B.C./C.-B.	Prince George	First Nations (Prince George) (R)	--	--	--	--	--	
B.C./C.-B.	Prince George	Total	166	8	24	115	313	
B.C./C.-B.	Vernon	Coldstream (DM)	31	--	--	2	33	
B.C./C.-B.	Vernon	Vernon (CY)	129	43	49	18	239	
B.C./C.-B.	Vernon	North Okanagan B (RDA)	4	--	--	--	4	
B.C./C.-B.	Vernon	North Okanagan C (RDA)	18	4	--	--	22	
B.C./C.-B.	Vernon	First Nations (Vernon) (R)	--	--	--	--	--	
B.C./C.-B.	Vernon	Total	182	47	49	20	298	
B.C./C.-B.	Total	Total	8,578	786	3,715	19,068	32,147	
Canada (50,000+)	Total	Total	50,308	9,187	23,272	85,930	168,697	
								
© 2019 Canada Mortgage and Housing Corporation / © 2019 Société canadienne d'hypothèques et de logement								
Source: CMHC (Starts and Completions Survey) / Source: SCHL (mises en chantier et des achèvements)								
								
								
