Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2019								
								
Province	Centre	Census Subdivision	Singles	Semis	Row	Apartment and Other	Total	
B.C./C.-B.	Vancouver	Port Moody (CY)	11	--	45	3	59	
B.C./C.-B.	Vancouver	North Vancouver (DM)	121	--	34	479	634	
B.C./C.-B.	Vancouver	North Vancouver (CY)	65	23	2	556	646	
B.C./C.-B.	Vancouver	West Vancouver (DM)	126	4	0	81	211	
B.C./C.-B.	Vancouver	Bowen Island (IM)	37	--	--	11	48	
B.C./C.-B.	Vancouver	Lions Bay (VL)	1	--	--	--	1	
B.C./C.-B.	Vancouver	Pitt Meadows (CY)	13	14	22	82	131	
B.C./C.-B.	Vancouver	Maple Ridge (CY)	161	7	181	181	530	
B.C./C.-B.	Vancouver	First Nations (Vancouver) (R)	--	--	122	--	122	
B.C./C.-B.	Vancouver	Total	4,483	364	2,216	14,793	21,856	
B.C./C.-B.	Victoria	North Saanich (DM)	54	--	--	42	96	
B.C./C.-B.	Victoria	Sidney (T)	14	14	16	71	115	
B.C./C.-B.	Victoria	Central Saanich (DM)	36	2	0	61	99	
B.C./C.-B.	Victoria	Saanich (DM)	89	2	6	516	613	
B.C./C.-B.	Victoria	Oak Bay (DM)	35	1	--	--	36	
B.C./C.-B.	Victoria	Victoria (CY)	26	7	3	582	618	
B.C./C.-B.	Victoria	Esquimalt (DM)	4	6	1	31	42	
B.C./C.-B.	Victoria	Colwood (CY)	64	4	42	78	188	
B.C./C.-B.	Victoria	Metchosin (DM)	8	--	--	2	10	
B.C./C.-B.	Victoria	Langford (CY)	216	27	93	698	1,034	
B.C./C.-B.	Victoria	View Royal (T)	24	--	20	200	244	
B.C./C.-B.	Victoria	Highlands (DM)	14	--	--	--	14	
B.C./C.-B.	Victoria	Sooke (DM)	99	31	13	39	182	
B.C./C.-B.	Victoria	Juan de Fuca (Part 1) (RDA)	33	1	--	5	39	
B.C./C.-B.	Victoria	First Nations (Victoria) (R)	17	--	--	--	17	
B.C./C.-B.	Victoria	Total	733	95	194	2,325	3,347	
B.C./C.-B.	Chilliwack	Chilliwack (CY)	321	18	178	173	690	
B.C./C.-B.	Chilliwack	Harrison Hot Springs (VL)	31	8	9	--	48	
B.C./C.-B.	Chilliwack	Kent (DM)	9	--	--	1	10	
B.C./C.-B.	Chilliwack	Fraser Valley D (RDA)	25	--	--	--	25	
B.C./C.-B.	Chilliwack	Fraser Valley H (RDA)	71	--	--	12	83	
B.C./C.-B.	Chilliwack	Fraser Valley E (RDA)	6	--	--	--	6	
B.C./C.-B.	Chilliwack	First Nations (Chilliwack) (R)	--	--	1	--	1	
B.C./C.-B.	Chilliwack	Total	463	26	188	186	863	
