Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2006								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	212	--	--	--	212	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	64	--	--	--	64	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	7	--	--	--	7	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	25	--	--	--	25	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	63	--	--	--	63	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	6	--	--	--	6	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	1	--	--	--	1	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	218	14	1	36	269	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (C)	392	113	40	130	675	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (C)	28	16	--	2	46	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	4	--	--	--	4	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	13	--	--	--	13	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	6	--	--	--	6	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,039	143	41	168	1,391	
Nfld.Lab./T.-N.-L.	Total	Total	1,039	143	41	168	1,391	
P.E.I./Î.-P.-É.	Charlottetown	Lot 49 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	18	2	--	--	20	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	6	2	--	--	8	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	11	--	--	--	11	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	5	--	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	8	--	--	--	8	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	13	--	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	3	--	--	--	3	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (C)	121	54	21	48	244	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	53	4	10	--	67	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	12	10	--	--	22	
P.E.I./Î.-P.-É.	Charlottetown	Total	271	72	31	48	422	
P.E.I./Î.-P.-É.	Total	Total	271	72	31	48	422	
N.S./N.-É.	Halifax	Halifax (RGM)	962	148	121	907	2,138	
N.S./N.-É.	Halifax	Total	962	148	121	907	2,138	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	118	55	4	9	186	
N.S./N.-É.	Cape Breton	Total	118	55	4	9	186	
N.S./N.-É.	Total	Total	1,080	203	125	916	2,324	
N.B./N.-B.	Saint John	Saint Martins (PAR)	1	--	--	--	1	
N.B./N.-B.	Saint John	St. Martins (VL)	1	--	--	--	1	
N.B./N.-B.	Saint John	Simonds (PAR)	18	--	--	2	20	
N.B./N.-B.	Saint John	Saint John (C)	109	20	8	8	145	
N.B./N.-B.	Saint John	Musquash (PAR)	3	--	--	--	3	
