Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2017								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
N.S./N.-É.	Halifax	Total	555	112	151	1,675	2,493	
N.S./N.-É.	Cape Breton	Cape Breton (RGM)	92	36	--	9	137	
N.S./N.-É.	Cape Breton	Total	92	36	--	9	137	
N.S./N.-É.	Total	Total	647	148	151	1,684	2,630	
N.B./N.-B.	Moncton	Hopewell (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Elgin (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Hillsborough (VL)	--	--	--	--	--	
N.B./N.-B.	Moncton	Coverdale (P)	18	--	--	1	19	
N.B./N.-B.	Moncton	Riverview (TV)	35	25	11	--	71	
N.B./N.-B.	Moncton	Hillsborough (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Dorchester (VL)	7	--	--	--	7	
N.B./N.-B.	Moncton	Dorchester (P)	--	--	--	--	--	
N.B./N.-B.	Moncton	Memramcook (VL)	4	--	--	--	4	
N.B./N.-B.	Moncton	Moncton (P)	70	--	--	1	71	
N.B./N.-B.	Moncton	Moncton (C)	84	91	17	17	209	
N.B./N.-B.	Moncton	Salisbury (VL)	3	--	--	--	3	
N.B./N.-B.	Moncton	Dieppe (C)	40	29	12	33	114	
N.B./N.-B.	Moncton	Saint-Paul (P)	1	--	--	--	1	
N.B./N.-B.	Moncton	Total	263	145	40	52	500	
N.B./N.-B.	Saint John	Saint Martins (P)	4	--	--	--	4	
N.B./N.-B.	Saint John	St. Martins (VL)	--	--	--	--	--	
N.B./N.-B.	Saint John	Simonds (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Saint John (C)	32	2	10	3	47	
N.B./N.-B.	Saint John	Musquash (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Lepreau (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Petersville (P)	--	--	--	--	--	
N.B./N.-B.	Saint John	Upham (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Hampton (TV)	13	--	--	--	13	
N.B./N.-B.	Saint John	Hampton (P)	7	--	--	--	7	
N.B./N.-B.	Saint John	Rothesay (TV)	--	--	--	--	--	
N.B./N.-B.	Saint John	Westfield (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Kingston (P)	3	--	--	--	3	
N.B./N.-B.	Saint John	Grand Bay-Westfield (TV)	10	--	--	--	10	
N.B./N.-B.	Saint John	Norton (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Greenwich (P)	2	--	--	--	2	
N.B./N.-B.	Saint John	Rothesay (P)	25	--	--	--	25	
N.B./N.-B.	Saint John	Quispamsis (TV)	42	2	--	1	45	
N.B./N.-B.	Saint John	Total	152	4	10	4	170	
N.B./N.-B.	Fredericton	Gladstone (P)	4	--	--	--	4	
N.B./N.-B.	Fredericton	Tracy (VL)	--	--	--	--	--	
N.B./N.-B.	Fredericton	Lincoln (P)	25	--	--	--	25	
N.B./N.-B.	Fredericton	Maugerville (P)	2	--	--	--	2	
N.B./N.-B.	Fredericton	New Maryland (VL)	5	--	--	--	5	
N.B./N.-B.	Fredericton	New Maryland (P)	5	--	--	--	5	
N.B./N.-B.	Fredericton	Manners Sutton (P)	5	--	--	--	5	
N.B./N.-B.	Fredericton	Harvey (VL)	--	--	--	--	--	
N.B./N.-B.	Fredericton	Hanwell (RCR)	5	2	--	--	7	
N.B./N.-B.	Fredericton	Kingsclear (P)	6	--	--	--	6	
N.B./N.-B.	Fredericton	Queensbury (P)	1	--	--	--	1	
N.B./N.-B.	Fredericton	Bright (P)	7	--	--	--	7	
N.B./N.-B.	Fredericton	Douglas (P)	7	--	--	--	7	
N.B./N.-B.	Fredericton	Saint Marys (P)	18	--	--	--	18	
N.B./N.-B.	Fredericton	Fredericton (C)	60	10	39	180	289	
N.B./N.-B.	Fredericton	Total	150	12	39	180	381	
N.B./N.-B.	Total	Total	565	161	89	236	1,051	
Que/Qc	Saguenay	Saguenay (V)	110	71	17	128	326	
Que/Qc	Saguenay	Saint-Félix-d'Otis (MÉ)	7	--	--	1	8	
Que/Qc	Saguenay	Sainte-Rose-du-Nord (PE)	1	--	--	--	1	
Que/Qc	Saguenay	Saint-Fulgence (MÉ)	5	--	--	--	5	
Que/Qc	Saguenay	Saint-Honoré (MÉ)	25	11	--	--	36	
Que/Qc	Saguenay	Saint-David-de-Falardeau (MÉ)	21	6	--	4	31	
Que/Qc	Saguenay	Bégin (MÉ)	--	--	--	--	--	
Que/Qc	Saguenay	Saint-Charles-de-Bourget (MÉ)	5	--	--	--	5	
Que/Qc	Saguenay	Larouche (MÉ)	16	--	--	--	16	
Que/Qc	Saguenay	Total	190	88	17	133	428	
Que/Qc	Montréal	Lavaltrie (V)	38	--	4	26	68	
Que/Qc	Montréal	Richelieu (V)	8	--	--	43	51	
Que/Qc	Montréal	Saint-Mathias-sur-Richelieu (MÉ)	5	--	1	1	7	
Que/Qc	Montréal	Saint-Jean-sur-Richelieu (V)	136	28	19	114	297	
Que/Qc	Montréal	Chambly (V)	87	42	9	169	307	
Que/Qc	Montréal	Carignan (V)	71	80	6	50	207	
Que/Qc	Montréal	Saint-Basile-le-Grand (V)	3	--	--	7	10	
Que/Qc	Montréal	McMasterville (MÉ)	--	1	6	105	112	
Que/Qc	Montréal	Otterburn Park (V)	6	--	6	--	12	
Que/Qc	Montréal	Mont-Saint-Hilaire (V)	23	--	4	10	37	
Que/Qc	Montréal	Beloeil (V)	45	6	17	44	112	
Que/Qc	Montréal	Saint-Mathieu-de-Beloeil (MÉ)	12	--	--	42	54	
Que/Qc	Montréal	Brossard (V)	87	41	3	711	842	
Que/Qc	Montréal	Saint-Lambert (V)	--	--	9	258	267	
Que/Qc	Montréal	Boucherville (V)	26	--	--	2	28	
Que/Qc	Montréal	Saint-Bruno-de-Montarville (V)	6	4	30	54	94	
Que/Qc	Montréal	Longueuil (V)	99	52	104	769	1,024	
Que/Qc	Montréal	Sainte-Julie (V)	6	--	--	28	34	
Que/Qc	Montréal	Saint-Amable (MÉ)	45	0	7	69	121	
Que/Qc	Montréal	Varennes (V)	19	23	6	21	69	
Que/Qc	Montréal	Verchères (MÉ)	4	--	--	3	7	
Que/Qc	Montréal	Charlemagne (V)	--	--	--	70	70	
Que/Qc	Montréal	Repentigny (V)	14	--	14	12	40	
Que/Qc	Montréal	Saint-Sulpice (PE)	2	--	3	--	5	
Que/Qc	Montréal	L'Assomption (V)	48	11	9	41	109	
Que/Qc	Montréal	L'Épiphanie (V)	6	--	--	15	21	
Que/Qc	Montréal	L'Épiphanie (PE)	3	--	4	--	7	
Que/Qc	Montréal	Saint-Lin--Laurentides (V)	101	9	--	119	229	
Que/Qc	Montréal	Terrebonne (V)	101	24	102	799	1,026	
Que/Qc	Montréal	Mascouche (V)	106	44	32	303	485	
Que/Qc	Montréal	Laval (V)	170	55	131	1,216	1,572	
Que/Qc	Montréal	Montréal-Est (V)	--	--	--	9	9	
Que/Qc	Montréal	Montréal (V)	108	63	183	6,445	6,799	
Que/Qc	Montréal	Westmount (V)	--	--	--	6	6	
Que/Qc	Montréal	Montréal-Ouest (V)	--	--	--	6	6	
Que/Qc	Montréal	Côte-Saint-Luc (V)	6	--	20	82	108	
Que/Qc	Montréal	Hampstead (V)	2	--	--	--	2	
Que/Qc	Montréal	Mont-Royal (V)	2	--	7	6	15	
Que/Qc	Montréal	Dorval (V)	12	--	16	94	122	
Que/Qc	Montréal	L'Île-Dorval (V)	--	--	--	--	--	
Que/Qc	Montréal	Pointe-Claire (V)	6	--	24	87	117	
Que/Qc	Montréal	Kirkland (V)	1	--	--	--	1	
Que/Qc	Montréal	Beaconsfield (V)	8	2	8	2	20	
Que/Qc	Montréal	Baie-D'Urfé (V)	7	--	--	--	7	
Que/Qc	Montréal	Sainte-Anne-de-Bellevue (V)	1	--	--	--	1	
Que/Qc	Montréal	Senneville (VL)	1	--	--	--	1	
Que/Qc	Montréal	Dollard-Des Ormeaux (V)	1	--	--	31	32	
Que/Qc	Montréal	Saint-Mathieu (MÉ)	11	10	5	--	26	
Que/Qc	Montréal	Saint-Philippe (MÉ)	11	67	28	30	136	
Que/Qc	Montréal	La Prairie (V)	38	21	52	193	304	
Que/Qc	Montréal	Candiac (V)	20	3	--	121	144	
Que/Qc	Montréal	Delson (V)	1	--	--	202	203	
Que/Qc	Montréal	Sainte-Catherine (V)	4	--	--	57	61	
Que/Qc	Montréal	Saint-Constant (V)	22	19	35	122	198	
Que/Qc	Montréal	Saint-Isidore (PE)	4	--	--	--	4	
Que/Qc	Montréal	Mercier (V)	43	23	16	41	123	
Que/Qc	Montréal	Châteauguay (V)	34	2	--	48	84	
Que/Qc	Montréal	Léry (V)	5	2	--	--	7	
Que/Qc	Montréal	Beauharnois (V)	20	24	7	27	78	
Que/Qc	Montréal	Saint-Zotique (MÉ)	55	6	5	32	98	
Que/Qc	Montréal	Les Coteaux (MÉ)	5	--	6	12	23	
Que/Qc	Montréal	Coteau-du-Lac (V)	7	--	10	17	34	
Que/Qc	Montréal	Les Cèdres (MÉ)	40	3	--	--	43	
Que/Qc	Montréal	Pointe-des-Cascades (VL)	17	--	21	--	38	
Que/Qc	Montréal	L'Île-Perrot (V)	4	--	18	329	351	
Que/Qc	Montréal	Notre-Dame-de-l'Île-Perrot (V)	21	--	26	16	63	
Que/Qc	Montréal	Pincourt (V)	6	--	15	42	63	
Que/Qc	Montréal	Terrasse-Vaudreuil (MÉ)	--	--	--	--	--	
Que/Qc	Montréal	Vaudreuil-Dorion (V)	65	8	60	664	797	
Que/Qc	Montréal	Vaudreuil-sur-le-Lac (VL)	3	--	--	--	3	
Que/Qc	Montréal	L'Île-Cadieux (V)	2	--	--	--	2	
Que/Qc	Montréal	Hudson (V)	6	2	--	--	8	
Que/Qc	Montréal	Saint-Lazare (V)	92	23	42	30	187	
Que/Qc	Montréal	Saint-Eustache (V)	14	11	37	231	293	
Que/Qc	Montréal	Deux-Montagnes (V)	12	1	--	237	250	
Que/Qc	Montréal	Sainte-Marthe-sur-le-Lac (V)	71	24	--	46	141	
Que/Qc	Montréal	Pointe-Calumet (MÉ)	6	--	--	1	7	
Que/Qc	Montréal	Saint-Joseph-du-Lac (MÉ)	21	--	--	36	57	
Que/Qc	Montréal	Oka (MÉ)	14	4	--	3	21	
Que/Qc	Montréal	Saint-Placide (MÉ)	5	--	--	--	5	
Que/Qc	Montréal	Boisbriand (V)	6	--	42	302	350	
Que/Qc	Montréal	Sainte-Thérèse (V)	1	--	--	268	269	
Que/Qc	Montréal	Blainville (V)	94	1	15	261	371	
Que/Qc	Montréal	Rosemère (V)	10	--	3	19	32	
Que/Qc	Montréal	Lorraine (V)	1	--	--	21	22	
Que/Qc	Montréal	Bois-des-Filion (V)	7	6	--	9	22	
Que/Qc	Montréal	Sainte-Anne-des-Plaines (V)	16	--	--	74	90	
Que/Qc	Montréal	Mirabel (V)	245	40	92	411	788	
Que/Qc	Montréal	Saint-Colomban (V)	89	--	0	7	96	
Que/Qc	Montréal	Saint-Jérôme (V)	109	29	25	595	758	
Que/Qc	Montréal	Gore (CT)	26	--	--	--	26	
Que/Qc	Montréal	Total	2,715	814	1,344	16,373	21,246	
Que/Qc	Gatineau	Thurso (V)	2	3	--	5	10	
Que/Qc	Gatineau	Lochaber (CT)	--	--	--	--	--	
Que/Qc	Gatineau	Lochaber-Partie-Ouest (CT)	--	--	--	--	--	
Que/Qc	Gatineau	Mayo (MÉ)	10	--	--	--	10	
Que/Qc	Gatineau	Val-des-Bois (MÉ)	--	--	--	--	--	
Que/Qc	Gatineau	Bowman (MÉ)	4	--	--	--	4	
Que/Qc	Gatineau	Gatineau (V)	135	204	110	693	1,142	
Que/Qc	Gatineau	L'Ange-Gardien (MÉ)	34	--	--	--	34	
Que/Qc	Gatineau	Notre-Dame-de-la-Salette (MÉ)	3	1	--	--	4	
Que/Qc	Gatineau	Val-des-Monts (MÉ)	22	3	1	6	32	
Que/Qc	Gatineau	Cantley (MÉ)	67	--	--	2	69	
Que/Qc	Gatineau	Chelsea (MÉ)	17	--	--	--	17	
Que/Qc	Gatineau	Pontiac (MÉ)	4	--	--	1	5	
Que/Qc	Gatineau	La Pêche (MÉ)	15	--	--	--	15	
Que/Qc	Gatineau	Denholm (MÉ)	2	--	--	--	2	
Que/Qc	Gatineau	Total	315	211	111	707	1,344	
Que/Qc	Québec	Saint-Henri (MÉ)	12	2	--	10	24	
Que/Qc	Québec	Beaumont (MÉ)	10	2	--	7	19	
Que/Qc	Québec	Saint-François-de-l'Île-d'Orléans (MÉ)	1	--	--	--	1	
Que/Qc	Québec	Sainte-Famille (PE)	--	--	--	--	--	
Que/Qc	Québec	Saint-Jean-de-l'Île-d'Orléans (MÉ)	1	--	--	--	1	
Que/Qc	Québec	Saint-Laurent-de-l'Île-d'Orléans (MÉ)	1	--	--	--	1	
Que/Qc	Québec	Saint-Pierre-de-l'Île-d'Orléans (MÉ)	--	--	--	--	--	
Que/Qc	Québec	Sainte-Pétronille (VL)	--	--	--	--	--	
Que/Qc	Québec	Château-Richer (V)	16	3	6	--	25	
Que/Qc	Québec	L'Ange-Gardien (MÉ)	5	4	9	2	20	
Que/Qc	Québec	Boischatel (MÉ)	52	12	--	4	68	
Que/Qc	Québec	Sainte-Catherine-de-la-Jacques-Cartier (V)	29	4	--	7	40	
Que/Qc	Québec	Fossambault-sur-le-Lac (V)	24	2	--	2	28	
Que/Qc	Québec	Lac-Saint-Joseph (V)	3	--	--	--	3	
Que/Qc	Québec	Shannon (MÉ)	33	4	17	2	56	
Que/Qc	Québec	Saint-Gabriel-de-Valcartier (MÉ)	19	--	--	--	19	
Que/Qc	Québec	Lac-Delage (V)	--	1	--	--	1	
Que/Qc	Québec	Stoneham-et-Tewkesbury (CU)	109	16	9	10	144	
Que/Qc	Québec	Lac-Beauport (MÉ)	48	--	--	3	51	
Que/Qc	Québec	Sainte-Brigitte-de-Laval (V)	52	18	--	15	85	
Que/Qc	Québec	Notre-Dame-des-Anges (PE)	--	--	--	--	--	
Que/Qc	Québec	Québec (V)	181	250	103	2,269	2,803	
Que/Qc	Québec	L'Ancienne-Lorette (V)	3	2	13	6	24	
Que/Qc	Québec	Saint-Augustin-de-Desmaures (V)	9	9	--	100	118	
Que/Qc	Québec	Lévis (V)	191	136	41	683	1,051	
Que/Qc	Québec	Saint-Lambert-de-Lauzon (MÉ)	16	--	--	12	28	
Que/Qc	Québec	Saint-Antoine-de-Tilly (MÉ)	--	--	--	--	--	
Que/Qc	Québec	Neuville (V)	3	2	--	--	5	
Que/Qc	Québec	Total	818	467	198	3,132	4,615	
Que/Qc	Sherbrooke	Ascot Corner (MÉ)	17	--	--	4	21	
Que/Qc	Sherbrooke	Stoke (MÉ)	11	--	--	--	11	
Que/Qc	Sherbrooke	Saint-Denis-de-Brompton (MÉ)	32	8	--	14	54	
Que/Qc	Sherbrooke	Val-Joli (MÉ)	3	--	--	--	3	
Que/Qc	Sherbrooke	Sherbrooke (V)	147	197	81	926	1,351	
Que/Qc	Sherbrooke	Compton (MÉ)	6	2	--	--	8	
Que/Qc	Sherbrooke	Waterville (V)	7	--	--	--	7	
Que/Qc	Sherbrooke	North Hatley (VL)	--	--	--	--	--	
Que/Qc	Sherbrooke	Hatley (CT)	8	--	--	2	10	
Que/Qc	Sherbrooke	Magog (V)	39	5	1	17	62	
Que/Qc	Sherbrooke	Orford (CT)	27	10	0	0	37	
Que/Qc	Sherbrooke	Total	297	222	82	963	1,564	
Que/Qc	Trois-Rivières	Trois-Rivières (V)	137	74	26	291	528	
Que/Qc	Trois-Rivières	Champlain (MÉ)	2	0	--	--	2	
Que/Qc	Trois-Rivières	Saint-Luc-de-Vincennes (MÉ)	--	--	--	--	--	
Que/Qc	Trois-Rivières	Saint-Maurice (PE)	10	--	--	4	14	
Que/Qc	Trois-Rivières	Bécancour (V)	31	11	--	27	69	
Que/Qc	Trois-Rivières	Yamachiche (MÉ)	5	--	--	--	5	
Que/Qc	Trois-Rivières	Total	185	85	26	322	618	
Que/Qc	Drummondville	Lefebvre (MÉ)	--	--	--	--	--	
Que/Qc	Drummondville	L'Avenir (MÉ)	4	--	--	--	4	
Que/Qc	Drummondville	Saint-Lucien (MÉ)	10	--	--	--	10	
Que/Qc	Drummondville	Wickham (MÉ)	4	--	--	--	4	
Que/Qc	Drummondville	Saint-Germain-de-Grantham (MÉ)	13	6	--	15	34	
Que/Qc	Drummondville	Drummondville (V)	181	69	--	324	574	
Que/Qc	Drummondville	Saint-Cyrille-de-Wendover (MÉ)	11	4	--	2	17	
Que/Qc	Drummondville	Notre-Dame-du-Bon-Conseil (VL)	26	--	--	--	26	
Que/Qc	Drummondville	Notre-Dame-du-Bon-Conseil (PE)	1	--	--	--	1	
Que/Qc	Drummondville	Saint-Majorique-de-Grantham (PE)	--	--	--	--	--	
Que/Qc	Drummondville	Saint-Edmond-de-Grantham (PE)	--	--	--	--	--	
Que/Qc	Drummondville	Total	250	79	--	341	670	
Que/Qc	Granby	Bromont (V)	62	33	28	59	182	
Que/Qc	Granby	Saint-Alphonse-de-Granby (MÉ)	17	17	--	0	34	
Que/Qc	Granby	Granby (V)	76	77	11	207	371	
Que/Qc	Granby	Roxton Pond (MÉ)	9	--	--	--	9	
Que/Qc	Granby	Saint-Paul-d'Abbotsford (MÉ)	3	--	--	8	11	
Que/Qc	Granby	Total	167	127	39	274	607	
Que/Qc	Rimouski	Saint-Narcisse-de-Rimouski (PE)	--	--	--	--	--	
Que/Qc	Rimouski	Saint-Anaclet-de-Lessard (PE)	3	2	--	--	5	
Que/Qc	Rimouski	Rimouski (V)	49	71	--	90	210	
Que/Qc	Rimouski	Saint-Valérien (PE)	3	--	--	--	3	
Que/Qc	Rimouski	Saint-Fabien (PE)	--	--	--	--	--	
Que/Qc	Rimouski	Total	55	73	--	90	218	
Que/Qc	Saint-Hyacinthe	Saint-Hyacinthe (V)	11	20	2	78	111	
Que/Qc	Saint-Hyacinthe	Saint-Dominique (MÉ)	4	1	--	--	5	
Que/Qc	Saint-Hyacinthe	Saint-Simon (MÉ)	5	--	--	--	5	
Que/Qc	Saint-Hyacinthe	Total	20	21	2	78	121	
Que/Qc	Shawinigan	Shawinigan (V)	42	3	--	85	130	
Que/Qc	Shawinigan	Saint-Boniface (MÉ)	26	--	--	4	30	
Que/Qc	Shawinigan	Total	68	3	--	89	160	
Que/Qc	Total	Total	5,080	2,190	1,819	22,502	31,591	
Ont./Ont.	Barrie	Springwater (TP)	235	--	--	4	239	
Ont./Ont.	Barrie	Innisfil (T)	293	12	88	222	615	
Ont./Ont.	Barrie	Barrie (CY)	65	4	118	254	441	
Ont./Ont.	Barrie	Total	593	16	206	480	1,295	
Ont./Ont.	Belleville	Tyendinaga (TP)	20	--	--	--	20	
Ont./Ont.	Belleville	Belleville (CY)	189	18	66	--	273	
Ont./Ont.	Belleville	Quinte West (CY)	173	18	59	--	250	
Ont./Ont.	Belleville	Stirling-Rawdon (TP)	9	--	--	--	9	
Ont./Ont.	Belleville	Total	391	36	125	--	552	
Ont./Ont.	Brantford	Brant (CY)	109	8	8	3	128	
Ont./Ont.	Brantford	Brantford (CY)	54	10	96	159	319	
Ont./Ont.	Brantford	Total	163	18	104	162	447	
Ont./Ont.	Guelph	Puslinch (TP)	63	--	--	--	63	
Ont./Ont.	Guelph	Guelph (CY)	143	54	203	615	1,015	
Ont./Ont.	Guelph	Guelph/Eramosa (TP)	56	--	22	--	78	
Ont./Ont.	Guelph	Total	262	54	225	615	1,156	
Ont./Ont.	Hamilton	Burlington (CY)	64	1	--	405	470	
Ont./Ont.	Hamilton	Hamilton (C)	747	123	839	349	2,058	
Ont./Ont.	Hamilton	Grimsby (T)	15	1	22	--	38	
Ont./Ont.	Hamilton	Total	826	125	861	754	2,566	
Ont./Ont.	Kingston	Frontenac Islands (TP)	7	--	--	5	12	
Ont./Ont.	Kingston	Kingston (CY)	199	9	75	40	323	
Ont./Ont.	Kingston	South Frontenac (TP)	37	--	--	--	37	
Ont./Ont.	Kingston	Loyalist (TP)	33	4	41	1	79	
Ont./Ont.	Kingston	Total	276	13	116	46	451	
Ont./Ont.	Kitchener - Cambridge - Waterl	North Dumfries (TP)	51	--	47	--	98	
Ont./Ont.	Kitchener - Cambridge - Waterl	Cambridge (CY)	262	2	55	276	595	
Ont./Ont.	Kitchener - Cambridge - Waterl	Kitchener (CY)	646	26	334	590	1,596	
Ont./Ont.	Kitchener - Cambridge - Waterl	Waterloo (CY)	290	28	39	764	1,121	
Ont./Ont.	Kitchener - Cambridge - Waterl	Wilmot (TP)	100	2	--	2	104	
Ont./Ont.	Kitchener - Cambridge - Waterl	Woolwich (TP)	102	8	12	--	122	
Ont./Ont.	Kitchener - Cambridge - Waterl	Total	1,451	66	487	1,632	3,636	
Ont./Ont.	London	Central Elgin (MU)	91	--	--	--	91	
Ont./Ont.	London	St. Thomas (CY)	98	18	27	12	155	
Ont./Ont.	London	Southwold (TP)	26	--	--	--	26	
Ont./Ont.	London	Strathroy-Caradoc (MU)	157	4	58	31	250	
Ont./Ont.	London	Thames Centre (MU)	56	8	--	--	64	
Ont./Ont.	London	Middlesex Centre (MU)	90	--	4	--	94	
Ont./Ont.	London	London (CY)	918	4	366	410	1,698	
Ont./Ont.	London	Adelaide-Metcalfe (TP)	3	--	--	--	3	
Ont./Ont.	London	Total	1,439	34	455	453	2,381	
Ont./Ont.	St. Catharines - Niagara	Fort Erie (T)	179	11	17	1	208	
Ont./Ont.	St. Catharines - Niagara	Port Colborne (CY)	22	--	--	--	22	
Ont./Ont.	St. Catharines - Niagara	Wainfleet (TP)	21	--	--	--	21	
Ont./Ont.	St. Catharines - Niagara	Pelham (T)	105	2	27	--	134	
Ont./Ont.	St. Catharines - Niagara	Welland (CY)	84	--	41	--	125	
Ont./Ont.	St. Catharines - Niagara	Thorold (CY)	84	27	30	6	147	
Ont./Ont.	St. Catharines - Niagara	Niagara Falls (CY)	639	11	279	--	929	
Ont./Ont.	St. Catharines - Niagara	Niagara-on-the-Lake (T)	147	40	35	28	250	
Ont./Ont.	St. Catharines - Niagara	St. Catharines (CY)	63	18	105	4	190	
Ont./Ont.	St. Catharines - Niagara	Lincoln (T)	45	3	1	--	49	
Ont./Ont.	St. Catharines - Niagara	Total	1,389	112	535	39	2,075	
Ont./Ont.	Oshawa	Whitby (T)	153	20	168	266	607	
Ont./Ont.	Oshawa	Oshawa (CY)	392	24	242	420	1,078	
Ont./Ont.	Oshawa	Clarington (MU)	452	--	115	232	799	
Ont./Ont.	Oshawa	Total	997	44	525	918	2,484	
Ont./Ont.	Ottawa	Clarence-Rockland (C)	87	5	18	24	134	
Ont./Ont.	Ottawa	Russell (TP)	95	31	15	39	180	
Ont./Ont.	Ottawa	Ottawa (CV)	1,751	241	1,752	1,277	5,021	
Ont./Ont.	Ottawa	North Grenville (MU)	74	12	32	6	124	
Ont./Ont.	Ottawa	Total	2,007	289	1,817	1,346	5,459	
Ont./Ont.	Peterborough	Otonabee-South Monaghan (TP)	18	--	15	--	33	
Ont./Ont.	Peterborough	Cavan Monaghan (TP)	33	--	--	--	33	
Ont./Ont.	Peterborough	Peterborough (CY)	144	12	103	81	340	
Ont./Ont.	Peterborough	Selwyn (TP)	68	--	--	--	68	
Ont./Ont.	Peterborough	Douro-Dummer (TP)	23	--	--	--	23	
Ont./Ont.	Peterborough	Total	286	12	118	81	497	
Ont./Ont.	Greater Sudbury / Grand Sudbur	Markstay-Warren (MU)	--	--	--	--	--	
Ont./Ont.	Greater Sudbury / Grand Sudbur	Greater Sudbury / Grand Sudbury (CV)	151	22	82	72	327	
Ont./Ont.	Greater Sudbury / Grand Sudbur	Total	151	22	82	72	327	
Ont./Ont.	Thunder Bay	Neebing (MU)	12	--	--	--	12	
Ont./Ont.	Thunder Bay	Thunder Bay (CY)	96	14	13	18	141	
