Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2017								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	118	4	29	1	152	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	50	--	--	1	51	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	3	--	--	--	3	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	12	--	--	--	12	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	26	--	--	3	29	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	16	--	--	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	1	--	--	--	1	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	79	27	--	17	123	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	170	14	13	53	250	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	39	9	22	--	70	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	1	--	--	--	1	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	7	--	--	--	7	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	13	--	--	--	13	
Nfld.Lab./T.-N.-L.	St. John's	Total	535	54	64	75	728	
Nfld.Lab./T.-N.-L.	Total	Total	535	54	64	75	728	
P.E.I./Î.-P.-É.	Charlottetown	Lot 49 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	13	--	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	13	--	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	11	2	--	--	13	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	28	--	--	--	28	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	8	--	--	--	8	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	4	--	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 37 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Mount Stewart (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Warren Grove (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Charlottetown (CY)	50	16	14	62	142	
P.E.I./Î.-P.-É.	Charlottetown	Stratford (T)	48	2	8	--	58	
P.E.I./Î.-P.-É.	Charlottetown	Cornwall (T)	23	8	25	7	63	
P.E.I./Î.-P.-É.	Charlottetown	Total	214	28	47	69	358	
P.E.I./Î.-P.-É.	Total	Total	214	28	47	69	358	
N.S./N.-É.	Halifax	Halifax (RGM)	555	112	151	1,675	2,493	
