Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2007								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	193	--	--	--	193	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	56	--	--	--	56	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	16	--	--	--	16	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	11	--	--	--	11	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	68	--	--	2	70	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	14	--	--	--	14	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	2	--	--	--	2	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	262	16	2	62	342	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	375	70	25	133	603	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	26	7	--	2	35	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	--	--	--	--	--	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	10	--	--	--	10	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	8	--	--	--	8	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,041	93	27	199	1,360	
Nfld.Lab./T.-N.-L.	Total	Total	1,041	93	27	199	1,360	
P.E.I./Î.-P.-É.	Charlottetown	Lot 49 (LOT)	7	--	--	--	7	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	17	6	--	--	23	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	15	--	--	--	15	
