Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2012								
								
Province	Centre	"Census Subdivision
Subdivision de recensement"	"Singles
Individuels"	"Semis
Jumelés"	"Row
En bande"	"Apartment
and Other
Appartements
et autres"	Total	
Nfld.Lab./T.-N.-L.	St. John's	Conception Bay South (T)	210	--	--	--	210	
Nfld.Lab./T.-N.-L.	St. John's	Portugal Cove-St. Philip's (T)	77	--	--	--	77	
Nfld.Lab./T.-N.-L.	St. John's	Pouch Cove (T)	19	--	--	--	19	
Nfld.Lab./T.-N.-L.	St. John's	Flatrock (T)	19	--	--	--	19	
Nfld.Lab./T.-N.-L.	St. John's	Torbay (T)	65	--	--	8	73	
Nfld.Lab./T.-N.-L.	St. John's	Logy Bay-Middle Cove-Outer Cove (T)	11	--	--	--	11	
Nfld.Lab./T.-N.-L.	St. John's	Bauline (T)	--	--	--	--	--	
Nfld.Lab./T.-N.-L.	St. John's	Paradise (T)	250	4	--	164	418	
Nfld.Lab./T.-N.-L.	St. John's	St. John's (CY)	454	4	38	315	811	
Nfld.Lab./T.-N.-L.	St. John's	Mount Pearl (CY)	47	--	11	26	84	
Nfld.Lab./T.-N.-L.	St. John's	Petty Harbour-Maddox Cove (T)	5	--	--	--	5	
Nfld.Lab./T.-N.-L.	St. John's	Bay Bulls (T)	24	--	--	--	24	
Nfld.Lab./T.-N.-L.	St. John's	Witless Bay (T)	40	--	--	--	40	
Nfld.Lab./T.-N.-L.	St. John's	Total	1,221	8	49	513	1,791	
Nfld.Lab./T.-N.-L.	Total	Total	1,221	8	49	513	1,791	
P.E.I./Î.-P.-É.	Charlottetown	Lot 48 (LOT)	10	2	--	--	12	
P.E.I./Î.-P.-É.	Charlottetown	Lot 31 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Lot 65 (LOT)	8	--	--	--	8	
P.E.I./Î.-P.-É.	Charlottetown	Meadowbank (COM)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Clyde River (COM)	3	2	--	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Miltonvale Park (COM)	2	2	--	--	4	
P.E.I./Î.-P.-É.	Charlottetown	Lot 23 (LOT)	6	--	--	--	6	
P.E.I./Î.-P.-É.	Charlottetown	Brackley (COM)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Lot 33 (LOT)	2	--	--	--	2	
P.E.I./Î.-P.-É.	Charlottetown	Union Road (COM)	--	--	--	--	--	
P.E.I./Î.-P.-É.	Charlottetown	Lot 34 (LOT)	7	--	--	4	11	
P.E.I./Î.-P.-É.	Charlottetown	Lot 35 (LOT)	3	--	2	--	5	
P.E.I./Î.-P.-É.	Charlottetown	Lot 36 (LOT)	1	--	--	--	1	
P.E.I./Î.-P.-É.	Charlottetown	Winsloe South (COM)	2	2	--	--	4	
